"Species","Mobility","AFF.MO","AMBI","Fragilite","AFF.RO","Tube","Taille","GT","Position","worms_id","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"Pododesmus squama","Fixe","I","I","Tres fragile","Dur","0","P","Suspensivore","Epifaune","138752","Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Pododesmus","Pododesmus squama"
"Poecilochaetus serpens","Peu mobile","II","I","Tres fragile","Meuble","1","P","Suspensivore","Endofaune","130711","Animalia","Annelida","Polychaeta","Spionida","Poecilochaetidae","Poecilochaetus","Poecilochaetus serpens"
"Polititapes aureus","Fixe","II","I","Pas fragile","Meuble","0","PM","Suspensivore","Endofaune","246150","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes","Polititapes aureus"
"Polititapes rhomboides","Fixe","I","I","Pas fragile","Meuble","0","PM","Suspensivore","Endofaune","745846","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Polititapes","Polititapes rhomboides"
"Nudibranchia spp.","Mobile","I",NA,"Tres fragile","Dur","0","P","Predateur","Epifaune","1762","Animalia","Mollusca","Gastropoda","Nudibranchia",NA,NA,NA
"Polycirrus spp.","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Polycirrus spp.","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Polycirrus spp.","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Polycirrus spp.","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Palaemon elegans",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","107614","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon elegans"
"Polycirrus spp.","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Polyclinidae","Fixe","I","IV","Tres fragile","Dur","0","P","Suspensivore","Epifaune","103441","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae",NA,NA
"Polyclinum aurantium","Fixe","I",NA,"Tres fragile","Dur","0","P","Suspensivore","Epifaune","103674","Animalia","Chordata","Ascidiacea","Aplousobranchia","Polyclinidae","Polyclinum","Polyclinum aurantium"
"Palliolum tigerinum",NA,NA,"I",NA,NA,NA,NA,NA,"Epifaune","140710","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Palliolum","Palliolum tigerinum"
"Polydora spp.","Peu mobile","IV","IV","Tres fragile","Indifferent","1","PM","Deposivore","Endofaune","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA
"Pandalidae",NA,NA,"I",NA,NA,NA,NA,NA,"Interstice","106789","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae",NA,NA
"Polydora spp.","Peu mobile","IV","IV","Tres fragile","Dur","1","P","Deposivore","Epifaune","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA
"Polydora colonia","Peu mobile","IV","IV","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","131142","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora colonia"
"Polydora spp.","Peu mobile","IV","IV","Tres fragile","Dur","1","PM","Deposivore","Endofaune","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA
"Polygordius","Peu mobile","I","I","Tres fragile","Meuble","0","PM","Deposivore","Interstice","129472","Animalia","Annelida","Polychaeta",NA,"Polygordiidae","Polygordius",NA
"Polygordius lacteus","Mobile","I","I","Tres fragile","Meuble","0","TP","Deposivore","Interstice","130714","Animalia","Annelida","Polychaeta",NA,"Polygordiidae","Polygordius","Polygordius lacteus"
"Polynoe scolopendrina","Mobile","II","II","Peu fragile","Dur","1","PM","Predateur","Interstice","130830","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Polynoe","Polynoe scolopendrina"
"Polynoidae","Mobile","II",NA,"Peu fragile","Indifferent","0","M","Predateur","Interstice","939","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae",NA,NA
"Pomatoschistus flavescens","Mobile",NA,NA,"Peu fragile","Dur","0","P","Predateur","Interstice","1526389","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus flavescens"
"Pomatoschistus pictus","Mobile",NA,NA,"Peu fragile","Meuble","0","P","Predateur","Epifaune","126930","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus pictus"
"Pontocrates arenarius","Mobile","I","II","Pas fragile","Meuble","0","TP","Predateur","Endofaune","102918","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Pontocrates","Pontocrates arenarius"
"Porifera spp.","Fixe","I",NA,"Tres fragile","Dur","0","MG","Suspensivore","Epifaune","558","Animalia","Porifera",NA,NA,NA,NA,NA
"Praunus flexuosus","Mobile","I","I","Tres fragile","Meuble","0","P","Predateur","Epifaune","120177","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Praunus","Praunus flexuosus"
"Maldanidae spp.","Peu mobile","III","III","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Maldanidae spp.","Peu mobile","III","III","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Prionospio spp.","Peu mobile","IV","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129620","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Prionospio",NA
"Paraonis",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","129435","Animalia","Annelida","Polychaeta",NA,"Paraonidae","Paraonis",NA
"Pareurythoe borealis",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","129838","Animalia","Annelida","Polychaeta","Amphinomida","Amphinomidae","Pareurythoe","Pareurythoe borealis"
"Processa spp.","Mobile","I","I","Tres fragile","Meuble","0","P","Predateur","Epifaune","107054","Animalia","Arthropoda","Malacostraca","Decapoda","Processidae","Processa",NA
"Prosthiostomum siphunculus","Mobile","I",NA,"Tres fragile","Dur","0","P","Predateur","Epifaune","142842","Animalia","Platyhelminthes",NA,"Polycladida","Prosthiostomidae","Prosthiostomum","Prosthiostomum siphunculus"
"Protocirrineris chrysoderma","Peu mobile","I","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129975","Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Protocirrineris","Protocirrineris chrysoderma"
"Protodorvillea kefersteini","Mobile","IV","IV","Tres fragile","Meuble","0","P","Predateur","Endofaune","130041","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Protodorvillea","Protodorvillea kefersteini"
"Protomystides bidentata","Mobile","II","II","Peu fragile","Meuble","0","P","Predateur","Interstice","152393","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Protomystides","Protomystides bidentata"
"Psamathe fusca","Mobile","II","II","Tres fragile","Indifferent","0","PM","Predateur","Endofaune","152249","Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Psamathe","Psamathe fusca"
"Psammechinus miliaris","Mobile","I","I","Tres fragile","Dur","0","PM","Brouteur","Interstice","124319","Animalia","Echinodermata","Echinoidea","Camarodonta","Parechinidae","Psammechinus","Psammechinus miliaris"
"Polydora spp.","Peu mobile","IV","IV","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA
"Polydora spp.","Peu mobile","IV","IV","Tres fragile","Meuble","1","TP","Deposivore","Endofaune","129619","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora",NA
"Peltocoxa damnoniensis",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","101984","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyproideidae","Peltocoxa","Peltocoxa damnoniensis"
"Pseudopotamilla saxicava","Peu mobile","I","II","Tres fragile","Dur","1","P","Suspensivore","Endofaune","1054343","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Pseudopotamilla","Pseudopotamilla saxicava"
"Peltocoxa damnoniensis",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","101984","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyproideidae","Peltocoxa","Peltocoxa damnoniensis"
"Pseudosuberites sulphureus","Fixe","I",NA,"Peu fragile","Dur","0","M","Suspensivore","Epifaune","134260","Animalia","Porifera","Demospongiae","Suberitida","Suberitidae","Pseudosuberites","Pseudosuberites sulphureus"
"Pseudosyllis brevipennis","Mobile","II","II","Tres fragile","Dur","0","P","Predateur","Interstice","131373","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Pseudosyllis","Pseudosyllis brevipennis"
"Pterocirrus macroceros","Mobile","II","II","Peu fragile","Indifferent","0","P","Predateur","Interstice","130686","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Pterocirrus","Pterocirrus macroceros"
"Perinereis cultrifera",NA,NA,"III",NA,NA,NA,NA,NA,"Endofaune","130408","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Perinereis","Perinereis cultrifera"
"Puncturella noachina","Peu mobile","I","I","Tres fragile","Dur","0","TP","Predateur","Epifaune","139975","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Puncturella","Puncturella noachina"
"Punnettia splendida","Peu mobile","II",NA,"Tres fragile","Indifferent","0","P","Predateur","Interstice","122860","Animalia","Nemertea","Hoplonemertea","Polystilifera","Drepanophoridae","Punnettia","Punnettia splendida"
"Pygospio elegans","Fixe","IV","III","Tres fragile","Meuble","1","P","Deposivore","Endofaune","131170","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans"
"Pyrgiscus crenatus","Fixe","I","I","Peu fragile","Meuble","0","TP","Parasitique","Epifaune","836211","Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Pyrgiscus","Pyrgiscus crenatus"
"Pyura spp.","Fixe","I","I","Pas fragile","Dur","0","PM","Suspensivore","Epifaune","103524","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","Pyura",NA
"Phascoliophila phascolionis",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","876588","Animalia","Mollusca","Bivalvia","Galeommatida","Lasaeidae","Phascoliophila","Phascoliophila phascolionis"
"Pyuridae","Fixe","I","I","Pas fragile","Dur","0","PM","Suspensivore","Epifaune","103449","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae",NA,NA
"Raphitoma purpurea","Peu mobile","I","I","Peu fragile","Dur","0","P","Predateur","Epifaune","139379","Animalia","Mollusca","Gastropoda","Neogastropoda","Raphitomidae","Raphitoma","Raphitoma purpurea"
"Retusa obtusa","Peu mobile","I","II","Tres fragile","Meuble","0","P","Predateur","Interstice","141134","Animalia","Mollusca","Gastropoda","Cephalaspidea","Retusidae","Retusa","Retusa obtusa"
"Rissoa guerinii","Peu mobile","I","I","Pas fragile","Dur","0","TP","Detritivore","Epifaune","141353","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa guerinii"
"Rissoa lilacina","Peu mobile","I","I","Pas fragile","Meuble","0","TP","Deposivore","Epifaune","141358","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa lilacina"
"Rissoa parva","Peu mobile","I","I","Peu fragile","Dur","0","TP","Deposivore","Epifaune","141365","Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae","Rissoa","Rissoa parva"
"Pholoe inornata",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","130601","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","Pholoe inornata"
"Rissoides desmaresti","Mobile","I","I","Peu fragile","Meuble","1","PM","Inconnu","Interstice","136135","Animalia","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Rissoides","Rissoides desmaresti"
"Ruditapes philippinarum","Peu mobile","III","III","Pas fragile","Meuble","0","PM","Suspensivore","Endofaune","231750","Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes","Ruditapes philippinarum"
"Sabella","Peu mobile","I","I","Peu fragile","Dur","1","M","Suspensivore","Epifaune","129549","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella",NA
"Sabella pavonina","Peu mobile","I","I","Tres fragile","Dur","1","M","Suspensivore","Epifaune","130967","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Sabella","Sabella pavonina"
"Sabellaria alveolata","Fixe","I","I","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","130866","Animalia","Annelida","Polychaeta",NA,"Sabellariidae","Sabellaria","Sabellaria alveolata"
"Phoronis spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","128545","Animalia","Phoronida",NA,NA,"Phoronidae","Phoronis",NA
"Sabellaria spinulosa","Peu mobile","I","I","Peu fragile","Dur","1","P","Suspensivore","Epifaune","130867","Animalia","Annelida","Polychaeta",NA,"Sabellariidae","Sabellaria","Sabellaria spinulosa"
"Sabellidae spp.","Peu mobile","I","I","Tres fragile","Indifferent","1","M","Suspensivore","Epifaune","985","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae",NA,NA
"Sagitta","Mobile","I","I","Pas fragile","Indifferent","0","TP","Predateur","Epifaune","105410","Animalia","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta",NA
"Sarsinebalia urgorrii","Mobile","I","I","Peu fragile","Meuble","0","TP","Suspensivore","Epifaune","388224","Animalia","Arthropoda","Malacostraca","Leptostraca","Nebaliidae","Sarsinebalia","Sarsinebalia urgorrii"
"Phyllochaetopterus",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","129232","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Phyllochaetopterus",NA
"Scalibregma celticum","Peu mobile","III","III","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130979","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Scalibregma","Scalibregma celticum"
"Scalibregma inflatum","Peu mobile","III","III","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130980","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Scalibregma","Scalibregma inflatum"
"Schistomeringos neglecta","Mobile","IV","II","Tres fragile","Meuble","0","P","Predateur","Endofaune","130044","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos neglecta"
"Schistomeringos rudolphi","Mobile","IV","I","Tres fragile","Meuble","0","TP","Predateur","Endofaune","154127","Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos rudolphi"
"Schizoporella","Fixe","I","I","Peu fragile","Dur","0","PM","Suspensivore","Epifaune","110975","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella",NA
"Sclerocheilus minutus","Peu mobile","I","III","Peu fragile","Meuble","0","P","Deposivore","Endofaune","130982","Animalia","Annelida","Polychaeta",NA,"Scalibregmatidae","Sclerocheilus","Sclerocheilus minutus"
"Phyllodoce rosea",NA,NA,"II",NA,NA,NA,NA,NA,"Interstice","334514","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce rosea"
"Scolanthus callimorphus","Fixe","I","II","Tres fragile","Meuble","0","P","Predateur","Interstice","100910","Animalia","Cnidaria","Anthozoa","Actiniaria","Edwardsiidae","Scolanthus","Scolanthus callimorphus"
"Scolelepis spp.","Peu mobile","III","III","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","129623","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Scolelepis",NA
"Orbinia latreillii",NA,NA,"I",NA,NA,NA,NA,NA,"Endofaune","130522","Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Orbinia","Orbinia latreillii"
"Scoletoma spp.","Peu mobile","II","II","Tres fragile","Indifferent","0","M","Predateur","Endofaune","129340","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma",NA
"Scoletoma spp.","Peu mobile","II","II","Tres fragile","Indifferent","0","PM","Predateur","Epifaune","129340","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma",NA
"Scoletoma laurentiana","Peu mobile","II","II","Tres fragile","Meuble","0","M","Predateur","Endofaune","1491000","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma laurentiana"
"Scoletoma magnidentata","Peu mobile","II","II","Tres fragile","Indifferent","0","MG","Predateur","Endofaune","152260","Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma magnidentata"
"Scoloplos (Scoloplos) armiger","Peu mobile","I","I","Tres fragile","Meuble","0","PM","Deposivore","Endofaune","743511","Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Scoloplos","Scoloplos (Scoloplos) armiger"
"Serpula","Peu mobile","III","I","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","129580","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Serpula",NA
"Serpula vermicularis","Peu mobile","I","I","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","131051","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Serpula","Serpula vermicularis"
"Serpulidae","Peu mobile","I","IV","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","988","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae",NA,NA
"Serratina serrata","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","605899","Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Serratina","Serratina serrata"
"Sigalion mathildae","Mobile","I","II","Peu fragile","Meuble","0","M","Predateur","Endofaune","131072","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sigalion","Sigalion mathildae"
"Pista spp.",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129708","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Pista",NA
"Sige fusigera","Mobile","II","III","Peu fragile","Meuble","0","P","Predateur","Interstice","130690","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Sige","Sige fusigera"
"Sipunculus (Sipunculus) nudus","Fixe","I","I","Tres fragile","Meuble","0","MG","Detritivore","Endofaune","136084","Animalia","Annelida",NA,"Sipuncula","Sipunculidae","Sipunculus","Sipunculus (Sipunculus) nudus"
"Mysida spp.","Mobile",NA,"II","Tres fragile","Indifferent","0","TP","Detritivore","Epifaune","149668","Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,NA
"Platynereis dumerilii",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","130417","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Platynereis dumerilii"
"Socarnes erythrophthalmus","Mobile","III","II","Peu fragile","Meuble","0","TP","Necrophage","Endofaune","148560","Animalia","Arthropoda","Malacostraca","Amphipoda","Lysianassidae","Socarnes","Socarnes erythrophthalmus"
"Spatangus purpureus","Mobile","I","I","Tres fragile","Meuble","0","M","Deposivore","Endofaune","124418","Animalia","Echinodermata","Echinoidea","Spatangoida","Spatangidae","Spatangus","Spatangus purpureus"
"Sphaerechinus granularis","Mobile","I","I","Tres fragile","Indifferent","0","PM","Herbivore","Epifaune","124427","Animalia","Echinodermata","Echinoidea","Camarodonta","Toxopneustidae","Sphaerechinus","Sphaerechinus granularis"
"Sphaerodoridium minutum","Peu mobile","II","II","Tres fragile","Meuble","0","TP","Predateur","Endofaune","155127","Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoridium","Sphaerodoridium minutum"
"Podocerus variegatus",NA,NA,"III",NA,NA,NA,NA,NA,"Endofaune","103056","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Podocerus","Podocerus variegatus"
"Sphaeroma serratum","Mobile","I","III","Peu fragile","Dur","0","P","Detritivore","Epifaune","118973","Animalia","Arthropoda","Malacostraca","Isopoda","Sphaeromatidae","Sphaeroma","Sphaeroma serratum"
"Sphaerosyllis spp.","Mobile","II","II","Tres fragile","Meuble","0","TP","Deposivore","Endofaune","129677","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Sphaerosyllis",NA
"Polychaeta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"883","Animalia","Annelida","Polychaeta",NA,NA,NA,NA
"Spio spp.","Peu mobile","IV","III","Tres fragile","Meuble","1","P","Deposivore","Endofaune","129625","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio",NA
"Spio spp.","Peu mobile","IV","III","Tres fragile","Dur","1","P","Deposivore","Endofaune","129625","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio",NA
"Spio spp.","Peu mobile","IV","III","Tres fragile","Dur","1","P","Deposivore","Endofaune","129625","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio",NA
"Spiochaetopterus spp.","Peu mobile","I","III","Tres fragile","Meuble","1","PM","Suspensivore","Endofaune","129233","Animalia","Annelida","Polychaeta",NA,"Chaetopteridae","Spiochaetopterus",NA
"Polycirrus nogueirai",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","1464370","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Polycirrus nogueirai"
"Polycirrus readi",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","1464372","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Polycirrus readi"
"Spionidae","Peu mobile","III","III","Tres fragile","Meuble","1","P","Deposivore","Endofaune","913","Animalia","Annelida","Polychaeta","Spionida","Spionidae",NA,NA
"Polycirrus spp.",NA,NA,"IV",NA,NA,NA,NA,NA,"Endofaune","129710","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus",NA
"Spiophanes bombyx","Peu mobile","I","III","Tres fragile","Meuble","1","PM","Suspensivore","Endofaune","131187","Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","Spiophanes bombyx"
"Spirobranchus spp.","Fixe","III","II","Tres fragile","Dur","1","PM","Suspensivore","Epifaune","129582","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Spirobranchus",NA
"Spisula elliptica","Peu mobile","I","I","Peu fragile","Meuble","0","P","Suspensivore","Endofaune","140300","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula","Spisula elliptica"
"Spisula solida","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140301","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula","Spisula solida"
"Spisula subtruncata","Peu mobile","I","I","Pas fragile","Meuble","0","P","Suspensivore","Endofaune","140302","Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Spisula","Spisula subtruncata"
"Steromphala cineraria","Peu mobile","I","III","Pas fragile","Dur","0","TP","Brouteur","Epifaune","1039839","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala cineraria"
"Steromphala pennanti","Peu mobile","I",NA,"Peu fragile","Dur","0","P","Herbivore","Epifaune","1039846","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala pennanti"
"Steromphala tumida","Peu mobile","I","I","Pas fragile","Dur","0","P","Herbivore","Epifaune","1477356","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala tumida"
"Pomatoschistus",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","125999","Animalia","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus",NA
"Steromphala umbilicalis","Peu mobile","I",NA,"Peu fragile","Dur","0","P","Herbivore","Epifaune","1039850","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Steromphala","Steromphala umbilicalis"
"Sthenelais boa","Mobile","II","II","Peu fragile","Meuble","0","M","Predateur","Interstice","131074","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","Sthenelais boa"
"Sthenelais boa","Mobile","II","II","Peu fragile","Meuble","0","PM","Predateur","Endofaune","131074","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelais","Sthenelais boa"
"Pontobdella",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","116943","Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae","Pontobdella",NA
"Streblosoma bairdi","Peu mobile","I","I","Tres fragile","Meuble","1","PM","Deposivore","Endofaune","131538","Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Streblosoma","Streblosoma bairdi"
"Pontocrates altamarinus",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","102916","Animalia","Arthropoda","Malacostraca","Amphipoda","Oedicerotidae","Pontocrates","Pontocrates altamarinus"
"Streptodonta pterochaeta","Peu mobile","I","II","Tres fragile","Meuble","0","P","Predateur","Endofaune","238207","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Streptodonta","Streptodonta pterochaeta"
"Striarca lactea","Fixe","I","I","Pas fragile","Dur","0","P","Suspensivore","Endofaune","140571","Animalia","Mollusca","Bivalvia","Arcida","Noetiidae","Striarca","Striarca lactea"
"Styela clava","Fixe","I","II","Pas fragile","Dur","0","M","Suspensivore","Epifaune","103929","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Styela","Styela clava"
"Maldanidae spp.",NA,NA,"III",NA,NA,NA,NA,NA,"Endofaune","923","Animalia","Annelida","Polychaeta",NA,"Maldanidae",NA,NA
"Proceraea cornuta",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","131362","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Proceraea","Proceraea cornuta"
"Prostheceraeus vittatus",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","142820","Animalia","Platyhelminthes",NA,"Polycladida","Euryleptidae","Prostheceraeus","Prostheceraeus vittatus"
"Protodrilus",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","129514","Animalia","Annelida","Polychaeta",NA,"Protodrilidae","Protodrilus",NA
"Pseudomystides limbata",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","130683","Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Pseudomystides","Pseudomystides limbata"
"Sabellidae spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","985","Animalia","Annelida","Polychaeta","Sabellida","Sabellidae",NA,NA
"Rissoella diaphana",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","141147","Animalia","Mollusca","Gastropoda",NA,"Rissoellidae","Rissoella","Rissoella diaphana"
"Sepiola atlantica",NA,NA,NA,NA,NA,NA,NA,NA,"Epifaune","141454","Animalia","Mollusca","Cephalopoda","Sepiida","Sepiolidae","Sepiola","Sepiola atlantica"
"Sigalion mathildae",NA,NA,"II",NA,NA,NA,NA,NA,"Endofaune","131072","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sigalion","Sigalion mathildae"
"Sipunculidae",NA,NA,NA,NA,NA,NA,NA,NA,"Endofaune","1648","Animalia","Annelida",NA,"Sipuncula","Sipunculidae",NA,NA
"Mysida spp.",NA,NA,"II",NA,NA,NA,NA,NA,"Epifaune","149668","Animalia","Arthropoda","Malacostraca","Mysida",NA,NA,NA
