Espece	Mobility	AFF.MO	AMBI	Fragilite	AFF.RO	Tube	Taille	GT	Position	Phylum	Class	Order	Family
Lumbrineriopsis paradoxa	Mobile	II	II	Peu fragile	Meuble	0	TP	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrineris	Mobile	II	II	Peu fragile	Indifferent	0	MG	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lasaea rubra			II						Epifaune				
Lumbrineris aniara	Mobile	II	II	Peu fragile	Meuble	0	M	Predateur	Interstice	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrineris cingulata	Mobile	II	I	Peu fragile	Indifferent	0	MG	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Leiochone johnstoni			NA						Endofaune				
Lumbrineris coccinea	Mobile	II	II	Peu fragile	Indifferent	0	M	Predateur	Interstice	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrineris latreilli	Mobile	II	I	Peu fragile	Indifferent	0	MG	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrineris luciliae	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Lumbrineris lusitanica	Mobile	II	II	Peu fragile	Indifferent	0	MG	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Lumbrineridae
Leodice torquata			II						Interstice				
Lutraria angustior	Peu mobile	I	I	Pas fragile	Meuble	0	M	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Mactridae
Lutraria lutraria	Peu mobile	I	I	Peu fragile	Meuble	0	PM	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Mactridae
Lutraria oblonga	Peu mobile	I	I	Pas fragile	Meuble	0	M	Suspensivore	Endofaune	Mollusca	Bivalvia	Venerida	Mactridae
Lyonsia norwegica	Peu mobile	I	II	Tres fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia		Lyonsiidae
Lysianassa	Mobile	I	I	Peu fragile	Meuble	0	TP	Necrophage	Epifaune	Arthropoda	Malacostraca	Amphipoda	Lysianassidae
Lysianassa ceratina	Mobile	I	II	Peu fragile	Indifferent	0	TP	Necrophage	Epifaune	Arthropoda	Malacostraca	Amphipoda	Lysianassidae
Lysianassa insperata	Mobile	I	I	Peu fragile	Meuble	0	TP	Necrophage	Epifaune	Arthropoda	Malacostraca	Amphipoda	Lysianassidae
Lysianassa plumosa	Mobile	I	I	Peu fragile	Meuble	0	TP	Necrophage	Epifaune	Arthropoda	Malacostraca	Amphipoda	Lysianassidae
Lysidice ninetta	Mobile	II	II	Peu fragile	Indifferent	0	PM	Omnivore	Endofaune	Annelida	Polychaeta	Eunicida	Eunicidae
Leptocheirus			NA						Epifaune				
Lysidice unicornis	Mobile	III	I	Peu fragile	Indifferent	0	M	Omnivore	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Lysilla loveni	Peu mobile	I	II	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Terebellidae
Lysmata seticaudata	Mobile	I	NA	Peu fragile	Dur	0	P	Predateur	Interstice	Arthropoda	Malacostraca	Decapoda	Lysmatidae
Macrochaeta clavicornis	Peu mobile	I	II	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Acrocirridae
Macroclymene santanderensis	Peu mobile	I	I	Tres fragile	Meuble	1	M	Detritivore	Endofaune	Annelida	Polychaeta		Maldanidae
Macropodia	Mobile	I	I	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Macropodia deflexa	Mobile	I	I	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Macropodia rostrata	Mobile	I	I	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Inachidae
Maera grossimana	Mobile	I	II	Peu fragile	Indifferent	0	P	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Maeridae
Maeridae	Peu mobile	I	I	Peu fragile	Indifferent	0	P	Deposivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Maeridae
Leptomysis			NA						Epifaune				
Magelona alleni	Peu mobile	I	I	Tres fragile	Meuble	1	PM	Deposivore	Endofaune	Annelida	Polychaeta		Magelonidae
Lepton			NA						Endofaune				
Magelona minuta	Peu mobile	I	I	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Annelida	Polychaeta		Magelonidae
Maja brachydactyla	Mobile	I	NA	Tres fragile	Indifferent	0	MG	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Majidae
Malacoceros	Mobile	IV	III	Tres fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Malacoceros fuliginosus	Mobile	IV	V	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Malacoceros girardi	Mobile	IV	III	Tres fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Malacoceros vulgaris	Mobile	IV	V	Tres fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Maldanidae	Peu mobile	I	I	Tres fragile	Meuble	1	M	Deposivore	Endofaune	Annelida	Polychaeta		Maldanidae
Malmgrenia	Mobile	II	I	Peu fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia andreapolis	Mobile	II	II	Peu fragile	Meuble	0	P	Commensalisme	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia arenicolae	Mobile	II	I	Peu fragile	Meuble	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Leucothoe denticulata			NA						Epifaune				
Malmgrenia castanea	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia darbouxi	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia ljungmani	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia lunulata	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Leufroyia leufroyi			NA						Epifaune				
Malmgrenia marphysae	Mobile	II	II	Peu fragile	Meuble	0	PM	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Malmgrenia mcintoshi	Mobile	II	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Ligia oceanica			NA						Epifaune				
Malmgrenia polypapillata	Mobile	II	II	Peu fragile	Meuble	0	TP	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Polynoidae
Mangelia attenuata	Peu mobile	I	II	Pas fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Mangeliidae
Mangelia costata	Peu mobile	I	II	Pas fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Mangeliidae
Mangelia costulata	Peu mobile	I	I	Pas fragile	Meuble	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Mangeliidae
Manzonia crassa	Peu mobile	I	I	Tres fragile	Meuble	0	TP	Deposivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Limatula			NA						Epifaune				
Marphysa	Mobile	II	II	Tres fragile	Indifferent	0	MG	Omnivore	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Marphysa sanguinea	Mobile	II	I	Tres fragile	Indifferent	0	G	Predateur	Interstice	Annelida	Polychaeta	Eunicida	Eunicidae
Marshallora adversa	Fixe	I	I	Pas fragile	Dur	0	TP	Predateur	Interstice	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Triphoridae
Marthasterias glacialis	Mobile	II	I	Peu fragile	Indifferent	0	M	Predateur	Epifaune	Echinodermata	Asteroidea	Forcipulatida	Asteriidae
Maxmuelleria	Peu mobile	I	NA	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Annelida	Polychaeta	Echiuroidea	Bonelliidae
Maxmuelleria lankesteri	Peu mobile	I	NA	Tres fragile	Meuble	0	M	Detritivore	Endofaune	Annelida	Polychaeta	Echiuroidea	Bonelliidae
Mediomastus	Peu mobile	I	NA	Tres fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Mediomastus fragilis	Peu mobile	I	III	Tres fragile	Dur	1	PM	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Megamoera dentata	Peu mobile	III	II	Peu fragile	Indifferent	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Melitidae
Megamphopus cornutus	Mobile	I	I	Peu fragile	Indifferent	0	TP	Detritivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Photidae
Melanella	Peu mobile	I	I	Pas fragile	Meuble	0	P	Parasitique	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Eulimidae
Melanella alba	Peu mobile	I	II	Pas fragile	Meuble	0	P	Parasitique	Endofaune	Mollusca	Gastropoda	Littorinimorpha	Eulimidae
Melinna palmata	Peu mobile	III	II	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Melinnidae
Melita palmata	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Melitidae
Melitidae	Mobile	I	III	Peu fragile	Indifferent	0	P	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Melitidae
Mesacmaea mitchellii	Fixe	I	I	Tres fragile	Meuble	0	PM	Predateur	Interstice	Cnidaria	Anthozoa	Actiniaria	Haloclavidae
Luidia ciliaris			NA						Epifaune				
Metaphoxus fultoni	Mobile	I	I	Peu fragile	Meuble	0	TP	Necrophage	Endofaune	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae
Metaphoxus simplex	Mobile	I	III	Peu fragile	Meuble	0	TP	Necrophage	Endofaune	Arthropoda	Malacostraca	Amphipoda	Phoxocephalidae
Microchirus variegatus	Mobile	NA	NA	Tres fragile	Meuble	0	M	Predateur	Epifaune	Chordata	Actinopteri	Pleuronectiformes	Soleidae
Microdeutopus	Mobile	I	I	Peu fragile	Dur	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Microdeutopus anomalus	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Microdeutopus versiculatus	Mobile	I	I	Peu fragile	Meuble	0	TP	Deposivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Aoridae
Micronereis variegata	Mobile	III	NA	Peu fragile	Indifferent	0	TP	Omnivore	Interstice	Annelida	Polychaeta	Phyllodocida	Nereididae
Lumbrineris futilis			II						Endofaune				
Microphthalmus	Peu mobile	I	II	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Annelida	Polychaeta	Phyllodocida	Microphthalmidae
Micropodarke	Mobile	II	III	Tres fragile	Meuble	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Hesionidae
Microprotopus maculatus	Mobile	I	I	Pas fragile	Meuble	0	TP	Detritivore	Endofaune	Arthropoda	Malacostraca	Amphipoda	Microprotopidae
Microspio mecznikowiana	Peu mobile	III	II	Tres fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Spionida	Spionidae
Mimachlamys varia	Peu mobile	I	I	Pas fragile	Dur	0	M	Suspensivore	Epifaune	Mollusca	Bivalvia	Pectinida	Pectinidae
Modiolula phaseolina	Fixe	I	I	Pas fragile	Dur	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Modiolus	Fixe	I	I	Tres fragile	Indifferent	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Modiolus adriaticus	Fixe	I	I	Tres fragile	Meuble	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Modiolus barbatus	Fixe	I	I	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Modiolus modiolus	Fixe	I	II	Peu fragile	Indifferent	0	M	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Moerella donacina	Peu mobile	I	I	Peu fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Cardiida	Tellinidae
Molgula	Fixe	I	I	Pas fragile	Indifferent	0	P	Suspensivore	Epifaune	Chordata	Ascidiacea	Stolidobranchia	Molgulidae
Monocorophium	Mobile	III	III	Peu fragile	Dur	1	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Monocorophium sextonae	Mobile	III	I	Peu fragile	Dur	1	TP	Detritivore	Interstice	Arthropoda	Malacostraca	Amphipoda	Corophiidae
Monodaeus couchii	Mobile	I	I	Pas fragile	Indifferent	0	P	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Xanthidae
Macrochaeta			II						Endofaune				
Musculus costulatus	Fixe	I	I	Peu fragile	Dur	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Musculus subpictus	Fixe	I	I	Pas fragile	Dur	0	P	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Mycale	Fixe	I	II	Tres fragile	Dur	0	MG	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Mycalidae
Mycale (Aegogropila) contarenii	Fixe	II	NA	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Mycalidae
Mycale (Carmia) macilenta	Fixe	II	NA	Tres fragile	Dur	0	PM	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Mycalidae
Myrianida	Peu mobile	II	II	Tres fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Myrianida pinnigera	Mobile	II	II	Tres fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Myrtea spinifera	Peu mobile	I	II	Pas fragile	Meuble	0	P	Suspensivore	Endofaune	Mollusca	Bivalvia	Lucinida	Lucinidae
Magelona equilamellae			I						Endofaune				
Mysida	Mobile	NA	NA	Tres fragile	Indifferent	0	PM	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	
Mysidae	Mobile	I	NA	Tres fragile	Indifferent	0	PM	Omnivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Magelona mirabilis			I						Endofaune				
Mysta picta	Mobile	II	III	Peu fragile	Dur	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Mytilus	Fixe	I	III	Peu fragile	Dur	0	M	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Mytilus edulis	Fixe	I	III	Peu fragile	Dur	0	M	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Mytilus galloprovincialis	Fixe	I	III	Pas fragile	Dur	0	M	Suspensivore	Epifaune	Mollusca	Bivalvia	Mytilida	Mytilidae
Myxicola aesthetica	Peu mobile	I	II	Tres fragile	Dur	1	P	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Malacoceros tetracerus			III						Endofaune				
Myxicola infundibulum	Peu mobile	I	I	Tres fragile	Meuble	1	M	Suspensivore	Endofaune	Annelida	Polychaeta	Sabellida	Sabellidae
Myxilla	Fixe	I	NA	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Myxillidae
Maldane			I						Endofaune				
Myxilla (Myxilla) rosacea	Fixe	I	NA	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Porifera	Demospongiae	Poecilosclerida	Myxillidae
Maldane glebifex			I						Endofaune				
Maldane sarsi			II						Endofaune				
Natatolana borealis	Mobile	I	II	Peu fragile	Meuble	0	TP	Necrophage	Interstice	Arthropoda	Malacostraca	Isopoda	Cirolanidae
Neanthes acuminata	Mobile	III	III	Peu fragile	Meuble	1	PM	Omnivore	Interstice	Annelida	Polychaeta	Phyllodocida	Nereididae
Neanthes nubila	Peu mobile	III	III	Peu fragile	Meuble	1	PM	Omnivore	Interstice	Annelida	Polychaeta	Phyllodocida	Nereididae
Nebalia	Mobile	I	V	Peu fragile	Meuble	0	P	Suspensivore	Interstice	Arthropoda	Malacostraca	Leptostraca	Nebaliidae
Nebalia bipes	Mobile	I	V	Peu fragile	Dur	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Leptostraca	Nebaliidae
Nebalia herbstii	Mobile	I	V	Peu fragile	Dur	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Leptostraca	Nebaliidae
Nebalia kocatasi	Mobile	I	V	Peu fragile	Meuble	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Leptostraca	Nebaliidae
Nebalia strausi	Mobile	I	V	Peu fragile	Meuble	0	TP	Suspensivore	Epifaune	Arthropoda	Malacostraca	Leptostraca	Nebaliidae
Necora puber	Mobile	I	I	Pas fragile	Indifferent	0	PM	Predateur	Epifaune	Arthropoda	Malacostraca	Decapoda	Polybiidae
Nematoda	Peu mobile	NA	NA	Peu fragile	Indifferent	0	P	Parasitique	Endofaune	Nematoda			
Nemertea	Mobile	II	I	Tres fragile	Indifferent	0	G	Predateur	Interstice	Nemertea			
Neoamphitrite	Peu mobile	I	I	Peu fragile	Meuble	1	MG	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Neoamphitrite edwardsii	Peu mobile	I	I	Peu fragile	Meuble	1	MG	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Neoamphitrite figulus	Peu mobile	I	I	Peu fragile	Meuble	1	MG	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Neomysis integer	Mobile	I	II	Tres fragile	Indifferent	0	P	Suspensivore	Epifaune	Arthropoda	Malacostraca	Mysida	Mysidae
Nephtyidae	Mobile	II	II	Peu fragile	Meuble	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nephtys assimilis	Mobile	I	II	Peu fragile	Meuble	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nephtys caeca	Mobile	II	II	Peu fragile	Indifferent	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nephtys cirrosa	Mobile	I	II	Peu fragile	Meuble	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nephtys hombergii	Mobile	I	II	Peu fragile	Meuble	0	M	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nephtys kersivalensis	Mobile	II	II	Peu fragile	Meuble	0	P	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Nephtyidae
Nereididae	Mobile	III	NA	Peu fragile	Meuble	0	PM	Detritivore	Endofaune	Annelida	Polychaeta	Phyllodocida	Nereididae
Nereimyra punctata	Mobile	II	III	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Hesionidae
Megaluropus agilis			I						Epifaune				
Nereiphylla	Mobile	I	II	Peu fragile	Indifferent	0	PM	Predateur	Endofaune	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Nereiphylla rubiginosa	Mobile	I	II	Peu fragile	Indifferent	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Nereis zonata	Peu mobile	III	II	Tres fragile	Meuble	1	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Nereididae
Nerophis lumbriciformis	Mobile	NA	NA	Peu fragile	Dur	0	M	Predateur	Interstice	Chordata	Actinopteri	Syngnathiformes	Syngnathidae
Nicolea venustula	Peu mobile	I	II	Tres fragile	Meuble	1	PM	Deposivore	Interstice	Annelida	Polychaeta	Terebellida	Terebellidae
Melanella polita			I						Endofaune				
Normanion chevreuxi	Peu mobile	I	NA	Peu fragile	Meuble	0	TP	Parasitique	Epifaune	Arthropoda	Malacostraca	Amphipoda	Opisidae
Normanion quadrimanus	Peu mobile	I	NA	Peu fragile	Meuble	0	TP	Parasitique	Epifaune	Arthropoda	Malacostraca	Amphipoda	Opisidae
Melita hergensis			I						Epifaune				
Nothria britannica	Peu mobile	I	II	Tres fragile	Meuble	1	P	Predateur	Epifaune	Annelida	Polychaeta	Eunicida	Onuphidae
Nothria conchylega	Peu mobile	I	II	Tres fragile	Meuble	1	M	Predateur	Epifaune	Annelida	Polychaeta	Eunicida	Onuphidae
Notomastus	Peu mobile	III	III	Tres fragile	Meuble	0	M	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Notomastus latericeus	Peu mobile	III	III	Tres fragile	Meuble	0	MG	Deposivore	Endofaune	Annelida	Polychaeta		Capitellidae
Notophyllum	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Notophyllum foliosum	Mobile	II	II	Peu fragile	Indifferent	0	PM	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Phyllodocidae
Notoplana atomata	Mobile	I	II	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Platyhelminthes		Polycladida	Notoplanidae
Nototropis guttatus	Mobile	I	II	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Atylidae
Nototropis swammerdamei	Mobile	I	I	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Atylidae
Nototropis vedlomensis	Mobile	III	I	Peu fragile	Meuble	0	TP	Detritivore	Epifaune	Arthropoda	Malacostraca	Amphipoda	Atylidae
Microjassa cumbrensis			I						Epifaune				
Nucula hanleyi	Peu mobile	I	I	Pas fragile	Indifferent	0	TP	Suspensivore	Endofaune	Mollusca	Bivalvia	Nuculida	Nuculidae
Nucula nitidosa	Mobile	I	I	Pas fragile	Meuble	0	TP	Deposivore	Endofaune	Mollusca	Bivalvia	Nuculida	Nuculidae
Nucula nucleus	Fixe	I	II	Pas fragile	Meuble	0	TP	Detritivore	Endofaune	Mollusca	Bivalvia	Nuculida	Nuculidae
Microprotopus longimanus			I						Endofaune				
Nudibranchia	Mobile	I	III	Tres fragile	Dur	0	M	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	
Microspio			NA						Endofaune				
Obelia geniculata	Fixe	I	II	Tres fragile	Dur	0	P	Predateur	Epifaune	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae
Ocenebra erinaceus	Mobile	I	II	Peu fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Neogastropoda	Muricidae
Ocinebrina aciculata	Peu mobile	I	II	Peu fragile	Dur	0	P	Predateur	Interstice	Mollusca	Gastropoda	Neogastropoda	Muricidae
Ocnus brunneus	Peu mobile	I	I	Peu fragile	Meuble	0	P	Suspensivore	Interstice	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae
Ocnus lacteus	Peu mobile	I	I	Peu fragile	Dur	0	P	Suspensivore	Interstice	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae
Ocnus planci	Peu mobile	I	I	Pas fragile	Meuble	0	M	Suspensivore	Epifaune	Echinodermata	Holothuroidea	Dendrochirotida	Cucumariidae
Octobranchus	Peu mobile	I	II	Peu fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Trichobranchidae
Octobranchus lingulatus	Peu mobile	I	II	Peu fragile	Meuble	1	P	Deposivore	Endofaune	Annelida	Polychaeta	Terebellida	Trichobranchidae
Odontosyllis ctenostoma	Mobile	II	II	Pas fragile	Indifferent	0	P	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Odontosyllis fulgurans	Mobile	II	II	Tres fragile	Dur	0	P	Omnivore	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Odontosyllis gibba	Mobile	II	II	Tres fragile	Dur	0	P	Omnivore	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Odostomia plicata	Fixe	I	II	Peu fragile	Dur	0	TP	Parasitique	Interstice	Mollusca	Gastropoda		Pyramidellidae
Munida rugosa			NA						Epifaune				
Oerstedia dorsalis	Peu mobile	II	III	Tres fragile	Indifferent	0	P	Predateur	Interstice	Nemertea	Hoplonemertea	Monostilifera	Oerstediidae
Oligochaeta	Peu mobile	V	V	Tres fragile	Meuble	0	TP	Deposivore	Endofaune	Annelida	Clitellata		
Onchidoris	Mobile	I	I	Tres fragile	Dur	0	PM	Brouteur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Onchidorididae
Onchidoris muricata	Mobile	I	I	Tres fragile	Dur	0	P	Predateur	Epifaune	Mollusca	Gastropoda	Nudibranchia	Onchidorididae
Onoba semicostata	Peu mobile	I	I	Pas fragile	Dur	0	TP	Detritivore	Epifaune	Mollusca	Gastropoda	Littorinimorpha	Rissoidae
Ophelia bicornis	Peu mobile	I	I	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Opheliidae
Ophelia borealis	Peu mobile	I	I	Peu fragile	Meuble	0	PM	Deposivore	Endofaune	Annelida	Polychaeta		Opheliidae
Ophelia roscoffensis	Peu mobile	I	I	Peu fragile	Meuble	0	P	Deposivore	Endofaune	Annelida	Polychaeta		Opheliidae
Myrianida prolifera			II						Epifaune				
Ophiocomina nigra	Peu mobile	I	I	Tres fragile	Indifferent	0	PM	Omnivore	Epifaune	Echinodermata	Ophiuroidea	Ophiacanthida	Ophiotomidae
Myrianida quindecimdentata			NA						Epifaune				
Ophiocten affinis	Peu mobile	I	II	Tres fragile	Indifferent	0	P	Predateur	Epifaune	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae
Myriochele danielsseni			III						Endofaune				
Ophiothrix fragilis	Mobile	I	I	Tres fragile	Dur	0	M	Suspensivore	Epifaune	Echinodermata	Ophiuroidea	Amphilepidida	Ophiotrichidae
Ophiura	Mobile	I	II	Tres fragile	Meuble	0	P	Predateur	Epifaune	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae
Ophiura albida	Mobile	I	II	Tres fragile	Meuble	0	P	Suspensivore	Epifaune	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae
Ophiura ophiura	Mobile	I	II	Tres fragile	Meuble	0	P	Predateur	Interstice	Echinodermata	Ophiuroidea	Ophiurida	Ophiuridae
Opisthobranchia	Peu mobile	I	NA	Tres fragile	Indifferent	0	PM	Predateur	Epifaune	Mollusca	Gastropoda		
Mystides caeca			II						Epifaune				
Opisthodonta longocirrata	Mobile	II	III	Tres fragile	Dur	0	TP	Predateur	Interstice	Annelida	Polychaeta	Phyllodocida	Syllidae
Opisthodonta serratisetosa	Mobile	II	NA	Tres fragile	Indifferent	0	TP	Predateur	Epifaune	Annelida	Polychaeta	Phyllodocida	Syllidae
Orbinia	Mobile	I	I	Tres fragile	Meuble	0	MG	Deposivore	Endofaune	Annelida	Polychaeta		Orbiniidae
Orbinia latreillii	Peu mobile	I	I	Tres fragile	Meuble	0	MG	Deposivore	Endofaune	Annelida	Polychaeta		Orbiniidae
